,grid_cell,event,fulldate,cov_all,killing,box_duration,exp_duration
0,2,1,2014-09-01,0.25,0.6,1,90
1,2,2,2015-09-01,1.0,0.9,210,30
2,2,3,2016-09-01,0.9285714290000001,0.9,210,30
3,2,4,2017-09-01,0.67,0.9,210,30
4,3,1,2014-09-01,0.4,0.6,1,90
5,3,2,2015-09-01,0.9285714290000001,0.9,210,30
6,3,3,2016-09-01,0.533333333,0.9,210,30
7,3,4,2017-09-01,0.67,0.9,210,30
8,4,1,2014-09-01,0.0,0.6,1,90
9,4,2,2015-09-01,0.5,0.9,210,30
10,4,3,2016-09-01,0.75,0.9,210,30
11,4,4,2017-09-01,0.67,0.9,210,30
12,5,1,2014-09-01,0.333333333,0.6,1,90
13,5,2,2015-09-01,0.95,0.9,210,30
14,5,3,2016-09-01,0.818181818,0.9,210,30
15,5,4,2017-09-01,0.67,0.9,210,30
16,6,1,2014-09-01,0.375,0.6,1,90
17,6,2,2015-09-01,0.875,0.9,210,30
18,6,3,2016-09-01,0.7142857140000001,0.9,210,30
19,6,4,2017-09-01,0.67,0.9,210,30
20,7,1,2014-09-01,0.375,0.6,1,90
21,7,2,2015-09-01,0.921052632,0.9,210,30
22,7,3,2016-09-01,0.6,0.9,210,30
23,7,4,2017-09-01,0.67,0.9,210,30
24,8,1,2014-09-01,0.1,0.6,1,90
25,8,2,2015-09-01,0.644444444,0.9,210,30
26,8,3,2016-09-01,0.7209302329999999,0.9,210,30
27,8,4,2017-09-01,0.67,0.9,210,30
28,10,1,2015-09-01,0.0,0.9,210,30
29,10,2,2016-09-01,0.0,0.9,210,30
30,10,3,2017-09-01,0.67,0.9,210,30
31,11,1,2016-09-01,1.0,0.9,210,30
32,11,2,2017-09-01,0.67,0.9,210,30
33,12,1,2014-09-01,0.0,0.6,1,90
34,12,2,2015-09-01,1.0,0.9,210,30
35,12,3,2016-09-01,0.0,0.9,210,30
36,12,4,2017-09-01,0.67,0.9,210,30
37,13,1,2014-09-01,0.4,0.6,1,90
38,13,2,2015-09-01,0.636363636,0.9,210,30
39,13,3,2016-09-01,0.857142857,0.9,210,30
40,13,4,2017-09-01,0.67,0.9,210,30
41,14,1,2014-09-01,0.5,0.6,1,90
42,14,2,2015-09-01,1.0,0.9,210,30
43,14,3,2016-09-01,0.75,0.9,210,30
44,14,4,2017-09-01,0.67,0.9,210,30
45,15,1,2014-09-01,0.5,0.6,1,90
46,15,2,2015-09-01,1.0,0.9,210,30
47,15,3,2016-09-01,1.0,0.9,210,30
48,15,4,2017-09-01,0.67,0.9,210,30
49,16,1,2015-09-01,0.833333333,0.9,210,30
50,16,2,2016-09-01,0.75,0.9,210,30
51,16,3,2017-09-01,0.67,0.9,210,30
52,17,1,2015-09-01,0.0,0.9,210,30
53,17,2,2016-09-01,0.0,0.9,210,30
54,17,3,2017-09-01,0.67,0.9,210,30
55,18,1,2015-09-01,1.0,0.9,210,30
56,18,2,2016-09-01,0.0,0.9,210,30
57,18,3,2017-09-01,0.67,0.9,210,30
58,19,1,2014-09-01,0.333333333,0.6,1,90
59,19,2,2015-09-01,0.4,0.9,210,30
60,19,3,2016-09-01,1.0,0.9,210,30
61,19,4,2017-09-01,0.67,0.9,210,30
62,20,1,2014-09-01,0.5,0.6,1,90
63,20,2,2015-09-01,0.666666667,0.9,210,30
64,20,3,2016-09-01,1.0,0.9,210,30
65,20,4,2017-09-01,0.67,0.9,210,30
66,21,1,2014-09-01,0.111111111,0.6,1,90
67,21,2,2015-09-01,0.75,0.9,210,30
68,21,3,2016-09-01,0.7692307690000001,0.9,210,30
69,21,4,2017-09-01,0.67,0.9,210,30
70,22,1,2014-09-01,0.166666667,0.6,1,90
71,22,2,2015-09-01,0.75,0.9,210,30
72,22,3,2016-09-01,0.28571428600000004,0.9,210,30
73,22,4,2017-09-01,0.67,0.9,210,30
74,23,1,2014-09-01,0.6,0.6,1,90
75,23,2,2015-09-01,1.0,0.9,210,30
76,23,3,2016-09-01,0.666666667,0.9,210,30
77,23,4,2017-09-01,0.67,0.9,210,30
78,24,1,2015-09-01,0.0,0.9,210,30
79,24,2,2016-09-01,0.0,0.9,210,30
80,24,3,2017-09-01,0.67,0.9,210,30
81,25,1,2015-09-01,0.0,0.9,210,30
82,26,1,2014-09-01,0.0,0.6,1,90
83,26,2,2015-09-01,0.0,0.9,210,30
84,26,3,2016-09-01,0.0,0.9,210,30
85,26,4,2017-12-01,0.86,0.9,210,30
86,27,1,2014-09-01,0.0,0.6,1,90
87,27,2,2015-09-01,1.0,0.9,210,30
88,27,3,2016-09-01,0.5,0.9,210,30
89,27,4,2017-12-01,0.86,0.9,210,30
90,28,1,2014-09-01,1.0,0.6,1,90
91,28,2,2015-09-01,1.0,0.9,210,30
92,28,3,2016-09-01,1.0,0.9,210,30
93,28,4,2017-09-01,0.67,0.9,210,30
94,29,1,2014-09-01,0.25,0.6,1,90
95,29,2,2015-09-01,0.7894736840000001,0.9,210,30
96,29,3,2016-09-01,0.7692307690000001,0.9,210,30
97,29,4,2017-09-01,0.67,0.9,210,30
98,30,1,2014-09-01,0.0,0.6,1,90
99,30,2,2015-09-01,1.0,0.9,210,30
