,event,fulldate,cov_all,age_cov,min_season_cov,fast_fraction,grid_cell
0,1,2013-12-01,0.4,0.9,0.5,0.6,2
1,2,2015-09-01,0.6,0.9,0.5,0.6,2
2,3,2017-12-01,0.75,0.9,0.5,0.6,2
3,1,2013-12-01,0.4,0.9,0.5,0.6,3
4,2,2015-09-01,0.289473684210526,0.9,0.5,0.6,3
5,3,2017-12-01,0.75,0.9,0.5,0.6,3
6,1,2013-12-01,0.4,0.9,0.5,0.6,4
7,2,2015-09-01,0.0,0.9,0.5,0.6,4
8,3,2017-12-01,0.75,0.9,0.5,0.6,4
9,1,2013-12-01,0.4,0.9,0.5,0.6,5
10,2,2015-09-01,0.875,0.9,0.5,0.6,5
11,3,2017-12-01,0.75,0.9,0.5,0.6,5
12,1,2013-12-01,0.4,0.9,0.5,0.6,6
13,2,2015-09-01,0.6907216494845361,0.9,0.5,0.6,6
14,3,2017-12-01,0.75,0.9,0.5,0.6,6
15,1,2013-12-01,0.4,0.9,0.5,0.6,7
16,2,2015-09-01,0.8,0.9,0.5,0.6,7
17,3,2017-12-01,0.75,0.9,0.5,0.6,7
18,1,2013-12-01,0.4,0.9,0.5,0.6,8
19,2,2015-09-01,0.534090909090909,0.9,0.5,0.6,8
20,3,2017-12-01,0.75,0.9,0.5,0.6,8
21,1,2013-12-01,0.4,0.9,0.5,0.6,10
22,2,2015-09-01,0.0,0.9,0.5,0.6,10
23,3,2017-12-01,0.75,0.9,0.5,0.6,10
24,1,2013-12-01,0.4,0.9,0.5,0.6,12
25,2,2015-09-01,0.0,0.9,0.5,0.6,12
26,3,2017-12-01,0.75,0.9,0.5,0.6,12
27,1,2013-12-01,0.4,0.9,0.5,0.6,13
28,2,2015-09-01,0.578947368421053,0.9,0.5,0.6,13
29,3,2017-12-01,0.75,0.9,0.5,0.6,13
30,1,2013-12-01,0.4,0.9,0.5,0.6,14
31,2,2015-09-01,0.5,0.9,0.5,0.6,14
32,3,2017-12-01,0.75,0.9,0.5,0.6,14
33,1,2013-12-01,0.4,0.9,0.5,0.6,15
34,2,2015-09-01,1.0,0.9,0.5,0.6,15
35,3,2017-12-01,0.75,0.9,0.5,0.6,15
36,1,2013-12-01,0.4,0.9,0.5,0.6,16
37,2,2015-09-01,0.0,0.9,0.5,0.6,16
38,3,2017-12-01,0.75,0.9,0.5,0.6,16
39,1,2013-12-01,0.4,0.9,0.5,0.6,18
40,2,2015-09-01,0.0833333333333333,0.9,0.5,0.6,18
41,3,2017-12-01,0.75,0.9,0.5,0.6,18
42,1,2013-12-01,0.4,0.9,0.5,0.6,19
43,2,2015-09-01,0.384615384615385,0.9,0.5,0.6,19
44,3,2017-12-01,0.75,0.9,0.5,0.6,19
45,1,2013-12-01,0.4,0.9,0.5,0.6,20
46,2,2015-09-01,0.166666666666667,0.9,0.5,0.6,20
47,3,2017-12-01,0.75,0.9,0.5,0.6,20
48,1,2013-12-01,0.4,0.9,0.5,0.6,21
49,2,2015-09-01,0.54,0.9,0.5,0.6,21
50,3,2017-12-01,0.75,0.9,0.5,0.6,21
51,1,2013-12-01,0.4,0.9,0.5,0.6,22
52,2,2015-09-01,0.8,0.9,0.5,0.6,22
53,3,2017-12-01,0.75,0.9,0.5,0.6,22
54,1,2013-12-01,0.4,0.9,0.5,0.6,23
55,2,2015-09-01,0.8125,0.9,0.5,0.6,23
56,3,2017-12-01,0.75,0.9,0.5,0.6,23
57,1,2013-12-01,0.4,0.9,0.5,0.6,24
58,2,2015-09-01,0.0,0.9,0.5,0.6,24
59,3,2017-12-01,0.75,0.9,0.5,0.6,24
60,1,2013-12-01,0.4,0.9,0.5,0.6,25
61,2,2015-09-01,0.0,0.9,0.5,0.6,25
62,3,2017-12-01,0.75,0.9,0.5,0.6,25
63,1,2013-12-01,0.4,0.9,0.5,0.6,27
64,2,2015-09-01,1.0,0.9,0.5,0.6,27
65,3,2017-12-01,0.75,0.9,0.5,0.6,27
