,event,fulldate,cov_all,grid_cell
0,1,2015-11-19,0.40789473684210503,2
1,2,2016-01-27,0.223684210526316,2
2,3,2016-12-08,0.47368421052631604,2
3,4,2017-01-27,0.513157894736842,2
4,1,2015-11-19,0.5522388059701488,3
5,2,2016-01-27,0.432835820895522,3
6,3,2016-12-08,0.5373134328358211,3
7,4,2017-01-28,0.522388059701492,3
8,1,2015-11-19,0.529411764705882,4
9,2,2016-01-28,0.23529411764705901,4
10,3,2016-12-09,0.7058823529411771,4
11,4,2017-01-30,0.588235294117647,4
12,1,2015-11-19,0.666666666666667,5
13,2,2016-01-27,0.3541666666666671,5
14,3,2016-12-08,0.5416666666666671,5
15,4,2017-01-27,0.5,5
16,1,2015-11-18,0.458937198067633,6
17,2,2016-01-28,0.265700483091787,6
18,3,2016-12-08,0.5217391304347829,6
19,4,2017-01-27,0.51207729468599,6
20,1,2015-11-20,0.38888888888888895,7
21,2,2016-01-28,0.24691358024691396,7
22,3,2016-12-08,0.46296296296296297,7
23,4,2017-01-28,0.358024691358025,7
24,1,2015-11-19,0.5,8
25,2,2016-01-28,0.376404494382022,8
26,3,2016-12-08,0.51123595505618,8
27,4,2017-01-28,0.47752808988764,8
28,1,2015-11-19,0.666666666666667,10
29,2,2016-01-26,0.0,10
30,3,2016-12-07,0.0,10
31,4,2017-02-08,0.33333333333333304,10
32,1,2015-11-18,0.0,11
33,2,2016-01-26,0.0,11
34,3,2016-12-09,0.33333333333333304,11
35,4,2017-01-25,0.0,11
36,1,2015-11-27,0.2,12
37,2,2016-01-26,0.0,12
38,3,2016-12-07,0.0,12
39,4,2017-02-01,0.4,12
40,1,2015-11-19,0.567164179104478,13
41,2,2016-01-28,0.0746268656716418,13
42,3,2016-12-08,0.44776119402985104,13
43,4,2017-01-27,0.38805970149253705,13
44,1,2015-11-20,0.5,14
45,2,2016-01-31,0.0625,14
46,3,2016-12-10,0.375,14
47,4,2017-02-04,0.375,14
48,1,2015-11-20,0.33333333333333304,15
49,2,2016-01-26,0.0,15
50,3,2016-12-09,0.7777777777777779,15
51,4,2017-01-30,0.8888888888888891,15
52,1,2015-11-19,0.21739130434782603,16
53,2,2016-01-26,0.0,16
54,3,2016-12-08,0.565217391304348,16
55,4,2017-01-28,0.304347826086957,16
56,1,2015-11-18,0.0,17
57,2,2016-01-26,0.0,17
58,3,2016-12-07,0.0,17
59,4,2017-01-25,0.0,17
60,1,2015-11-19,0.36363636363636404,18
61,2,2016-01-26,0.0,18
62,3,2016-12-09,0.424242424242424,18
63,4,2017-02-01,0.45454545454545503,18
64,1,2015-11-19,0.65,19
65,2,2016-01-27,0.35,19
66,3,2016-12-08,0.6,19
67,4,2017-01-30,0.65,19
68,1,2015-11-22,0.75,20
69,2,2016-01-27,0.375,20
70,3,2016-12-08,0.375,20
71,4,2017-01-30,0.4583333333333329,20
72,1,2015-11-19,0.51,21
73,2,2016-01-27,0.27,21
74,3,2016-12-08,0.42,21
75,4,2017-01-30,0.38,21
76,1,2015-11-19,0.40425531914893603,22
77,2,2016-01-28,0.361702127659574,22
78,3,2016-12-08,0.40425531914893603,22
79,4,2017-01-30,0.40425531914893603,22
80,1,2015-11-19,0.47058823529411803,23
81,2,2016-01-27,0.3529411764705879,23
82,3,2016-12-08,0.529411764705882,23
83,4,2017-01-27,0.47058823529411803,23
84,1,2015-11-19,0.1,24
85,2,2016-01-26,0.0,24
86,3,2016-12-09,0.1,24
87,4,2017-02-01,0.3,24
88,1,2015-11-27,0.8,25
89,2,2016-01-26,0.0,25
90,3,2016-12-07,0.0,25
91,4,2017-01-25,0.0,25
92,1,2015-11-18,0.0,26
93,2,2016-01-26,0.0,26
94,3,2016-12-07,0.0,26
95,4,2017-01-25,0.0,26
96,1,2015-11-26,0.545454545454545,27
97,2,2016-01-26,0.0909090909090909,27
98,3,2016-12-09,0.45454545454545503,27
99,4,2017-01-28,0.6363636363636359,27
100,1,2015-11-19,0.24,28
101,2,2016-01-26,0.0,28
102,3,2016-12-08,0.56,28
103,4,2017-01-30,0.36,28
104,1,2015-11-19,0.48648648648648707,29
105,2,2016-01-27,0.324324324324324,29
106,3,2016-12-08,0.47297297297297297,29
107,4,2017-01-27,0.297297297297297,29
108,1,2015-11-26,0.8,30
109,2,2016-01-26,0.0,30
110,3,2016-12-10,0.2,30
111,4,2017-02-09,0.8,30
112,1,2015-11-19,0.5,31
113,2,2016-01-27,0.45,31
114,3,2016-12-08,0.45,31
115,4,2017-01-28,0.65,31
116,1,2015-11-19,0.48235294117647104,32
117,2,2016-01-27,0.317647058823529,32
118,3,2016-12-08,0.5411764705882349,32
119,4,2017-01-27,0.388235294117647,32
120,1,2015-11-22,0.5333333333333329,33
121,2,2016-01-27,0.4,33
122,3,2016-12-08,0.666666666666667,33
123,4,2017-01-27,0.566666666666667,33
124,1,2015-11-18,0.0,34
125,2,2016-01-26,0.0,34
126,3,2016-12-09,0.65,34
127,4,2017-01-25,0.0,34
128,1,2015-11-26,0.4,35
129,2,2016-01-26,0.0,35
130,3,2016-12-07,0.0,35
131,4,2017-01-25,0.0,35
132,1,2015-11-19,0.166666666666667,36
133,2,2016-01-26,0.0,36
134,3,2016-12-07,0.0,36
135,4,2017-01-25,0.0,36
136,1,2015-11-18,0.0,37
137,2,2016-01-26,0.0,37
138,3,2016-12-10,0.4,37
139,4,2017-02-01,0.6,37
140,1,2015-11-19,0.75,38
141,2,2016-01-27,0.25,38
142,3,2016-12-08,0.25,38
143,4,2017-01-25,0.0,38
144,1,2015-11-26,0.328125,39
145,2,2016-01-27,0.28125,39
146,3,2016-12-08,0.3125,39
147,4,2017-01-28,0.453125,39
148,1,2015-11-19,1.0,40
149,2,2016-01-27,0.0,40
150,3,2016-12-09,1.0,40
151,4,2017-01-28,1.0,40
152,1,2015-11-19,0.38317757009345793,41
153,2,2016-01-27,0.10280373831775699,41
154,3,2016-12-08,0.25233644859813104,41
155,4,2017-01-27,0.43925233644859796,41
156,1,2015-11-19,0.36,42
157,2,2016-01-26,0.0,42
158,3,2016-12-08,0.36,42
159,4,2017-01-28,0.04,42
160,1,2015-11-26,0.33333333333333304,43
161,2,2016-01-26,0.0,43
162,3,2016-12-08,0.33333333333333304,43
163,4,2017-01-25,0.0,43
164,1,2015-11-18,0.0,44
165,2,2016-01-26,0.0,44
166,3,2016-12-07,0.0,44
167,4,2017-01-25,0.0,44
168,1,2015-11-18,0.0,45
169,2,2016-01-26,0.0,45
170,3,2016-12-07,0.0,45
171,4,2017-01-25,0.0,45
172,1,2015-11-26,0.33333333333333304,46
173,2,2016-01-26,0.0,46
174,3,2016-12-07,0.0,46
175,4,2017-01-25,0.0,46
176,1,2015-11-18,0.45,47
177,2,2016-01-28,0.4,47
178,3,2016-12-08,0.45,47
179,4,2017-01-30,0.45,47
180,1,2015-11-18,0.0,48
181,2,2016-01-26,0.0,48
182,3,2016-12-07,0.0,48
183,4,2017-02-01,0.5,48
184,1,2015-11-18,0.857142857142857,49
185,2,2016-01-28,0.5714285714285711,49
186,3,2016-12-07,0.0,49
187,4,2017-01-25,0.0,49
188,1,2015-11-25,0.33333333333333304,50
189,2,2016-01-27,0.3666666666666671,50
190,3,2016-12-09,0.4333333333333329,50
191,4,2017-01-28,0.33333333333333304,50
192,1,2015-11-18,0.0,51
193,2,2016-01-27,0.125,51
194,3,2016-12-08,0.1875,51
195,4,2017-01-27,0.0625,51
196,1,2015-11-26,0.21052631578947398,52
197,2,2016-01-26,0.0,52
198,3,2016-12-08,0.368421052631579,52
199,4,2017-01-27,0.21052631578947398,52
200,1,2015-11-18,0.0,53
201,2,2016-01-26,0.0,53
202,3,2016-12-08,0.8,53
203,4,2017-01-30,0.4,53
204,1,2015-11-25,0.5,54
205,2,2016-01-28,0.307692307692308,54
206,3,2016-12-06,0.42307692307692296,54
207,4,2017-02-07,0.384615384615385,54
208,1,2015-11-18,0.7058823529411771,55
209,2,2016-01-28,0.509803921568627,55
210,3,2016-12-06,0.19607843137254896,55
211,4,2017-02-06,0.431372549019608,55
212,1,2015-11-18,1.0,56
213,2,2016-01-28,1.0,56
214,3,2016-12-07,0.0,56
215,4,2017-01-25,0.0,56
216,1,2015-11-25,0.15,57
217,2,2016-01-28,0.0,57
218,3,2016-12-06,0.45,57
219,4,2017-02-07,0.2,57
220,1,2015-11-19,0.38888888888888895,58
221,2,2016-01-27,0.36111111111111105,58
222,3,2016-12-08,0.6388888888888891,58
223,4,2017-01-27,0.527777777777778,58
224,1,2015-11-26,0.5714285714285711,59
225,2,2016-01-27,0.11904761904761901,59
226,3,2016-12-08,0.547619047619048,59
227,4,2017-01-27,0.666666666666667,59
228,1,2015-11-19,0.4166666666666671,60
229,2,2016-01-27,0.555555555555556,60
230,3,2016-12-08,0.25,60
231,4,2017-01-28,0.4166666666666671,60
232,1,2015-11-19,0.272727272727273,61
233,2,2016-01-27,0.36363636363636404,61
234,3,2016-12-15,0.0909090909090909,61
235,4,2017-01-25,0.18181818181818202,61
236,1,2015-11-19,0.5,62
